,lat,lon,accuracy,datetime,cluster
6594,52.5279584,-0.0009750999999999926,14.0,2018-11-14 19:58:14,6
6595,52.52761339999999,-0.0015077000000000007,500.0,2018-11-14 20:00:26,6
6596,52.5269648,-0.0036196000000000145,17.0,2018-11-14 20:02:02,6
6597,52.5265263,-0.003865499999999994,14.0,2018-11-14 20:03:11,6
6598,52.5256344,-0.003896799999999992,35.0,2018-11-14 20:04:39,6
6599,52.5243964,-0.0031418999999999753,15.0,2018-11-14 20:06:04,6
6600,52.523626,-0.0025030999999999942,15.0,2018-11-14 20:07:18,6
6601,52.5220039,-0.0017785999999999913,16.0,2018-11-14 20:09:49,-1
6602,52.5207968,-0.0018775999999999932,27.0,2018-11-14 20:11:46,-1
6603,52.5196456,-0.0020821999999999924,14.0,2018-11-14 20:13:15,-1
6604,52.5187624,-0.00526009999999999,16.0,2018-11-14 20:15:35,-1
6605,52.51848820000001,-0.0053758,31.0,2018-11-14 20:17:05,-1
6606,52.5178261,-0.008383699999999994,22.0,2018-11-14 20:19:11,-1
6607,52.5180659,-0.010791700000000001,24.0,2018-11-14 20:21:23,4
6608,52.5044734,-0.11880939999999998,16.0,2018-11-14 20:41:05,2
6609,52.5043924,-0.1188118,14.0,2018-11-14 20:42:57,2
6610,52.5040688,-0.119165,14.0,2018-11-14 20:45:09,2
6611,52.5039045,-0.11993989999999999,14.0,2018-11-14 20:46:13,2
6612,52.5039509,-0.11961569999999999,3.0,2018-11-14 20:47:00,2
6613,52.5035435,-0.11879219999999999,14.0,2018-11-14 20:48:42,2
6614,52.5033319,-0.11929499999999998,14.0,2018-11-14 20:49:52,2
6615,52.5046693,-0.1178708,88.0,2018-11-14 20:52:24,2
6616,52.5039811,-0.11757199999999998,17.0,2018-11-14 20:53:49,2
6617,52.5005018,-0.11438099999999998,14.0,2018-11-14 20:56:03,3
6618,52.4986461,-0.112232,97.0,2018-11-14 20:57:38,3
6619,52.4979384,-0.11128400000000005,14.0,2018-11-14 20:59:23,3
6620,52.4979456,-0.11123159999999999,14.0,2018-11-14 21:01:54,3
6621,52.4979508,-0.11135139999999999,15.0,2018-11-14 21:02:53,3
6622,52.4979133,-0.11129029999999998,14.0,2018-11-14 21:09:01,3
6623,52.498006,-0.11139079999999998,7.0,2018-11-14 21:19:25,3
6624,52.4979295,-0.1113336,14.0,2018-11-14 21:24:20,3
6625,52.4979527,-0.1112187,15.0,2018-11-14 22:47:28,3
6626,52.4979481,-0.11121639999999999,15.0,2018-11-14 23:29:25,3
6627,52.4979443,-0.11119379999999998,15.0,2018-11-14 23:37:13,3
